cliente,tempo_chegada,inicio_atendimento,fim_atendimento,tempo_espera
1,2.39,2.39,4.26,0
2,6.16,6.16,12.120000000000001,0
3,9.93,9.93,15.89,0
4,13.7,13.7,19.66,0
5,17.47,17.47,23.43,0
6,21.24,21.24,27.2,0
7,24.009999999999998,24.009999999999998,26.38,0
8,26.369999999999997,26.38,27.369999999999997,0.010000000000001563
9,28.019999999999996,28.019999999999996,28.139999999999997,0
10,31.129999999999995,31.129999999999995,31.479999999999997,0
11,32.85999999999999,32.85999999999999,38.54999999999999,0
12,39.529999999999994,39.529999999999994,42.55,0
13,49.46999999999999,49.46999999999999,53.31999999999999,0
14,50.919999999999995,50.919999999999995,62.269999999999996,0
15,55.629999999999995,55.629999999999995,78.83,0
16,57.88999999999999,62.269999999999996,63.489999999999995,4.380000000000003
17,60.41,63.489999999999995,68.92999999999999,3.0799999999999983
18,68.2,68.92999999999999,70.46,0.7299999999999898
19,68.42,70.46,70.55999999999999,2.039999999999992
20,68.69,70.55999999999999,77.65999999999998,1.8699999999999903
21,68.75,77.65999999999998,79.58999999999999,8.909999999999982
22,74.11,78.83,81.25,4.719999999999999
23,78.63,79.58999999999999,84.02999999999999,0.9599999999999937
24,84.75,84.75,93.64,0
25,96.28999999999999,96.28999999999999,101.24999999999999,0
26,101.10999999999999,101.10999999999999,111.40999999999998,0
27,102.96999999999998,102.96999999999998,104.56999999999998,0
28,107.51999999999998,107.51999999999998,115.51999999999998,0
29,107.89999999999998,111.40999999999998,112.43999999999998,3.510000000000005
30,110.95999999999998,112.43999999999998,127.70999999999998,1.480000000000004
31,111.41999999999997,115.51999999999998,121.33999999999997,4.1000000000000085
32,120.09999999999997,121.33999999999997,122.54999999999997,1.240000000000009
33,122.30999999999996,122.54999999999997,137.26999999999998,0.2400000000000091
34,123.91999999999996,127.70999999999998,134.26999999999998,3.7900000000000205
35,124.83999999999996,134.26999999999998,135.73,9.430000000000021
36,129.29999999999995,135.73,136.92999999999998,6.430000000000035
37,131.12999999999997,136.92999999999998,140.57999999999998,5.800000000000011
38,133.64999999999998,137.26999999999998,137.39999999999998,3.6200000000000045
39,133.70999999999998,137.39999999999998,138.55999999999997,3.6899999999999977
40,136.58999999999997,138.55999999999997,141.31999999999996,1.9699999999999989
41,139.42999999999998,140.57999999999998,142.92,1.1500000000000057
42,142.30999999999997,142.30999999999997,145.42,0
43,150.93999999999997,150.93999999999997,152.56999999999996,0
44,154.37999999999997,154.37999999999997,158.79999999999995,0
45,155.71999999999997,155.71999999999997,165.68999999999997,0
46,157.43999999999997,158.79999999999995,159.42999999999995,1.3599999999999852
47,161.02999999999997,161.02999999999997,164.66999999999996,0
48,161.21999999999997,164.66999999999996,165.37999999999997,3.4499999999999886
